session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab9e0b97fd2e55e6f274df,610761e24c57926a06f219e2,AWAITING REVIEW,2022-06-16 21:18:11.260000,2022-06-16 21:23:14.375000,303.115,31,273,4,99,,7781F798,Canada,Canada,Full-Time,English,Canada,Female,No
62ab9e0c6ab6d2945929aa45,5ce01cce7338350019c730c8,AWAITING REVIEW,2022-06-16 21:18:04.028000,2022-06-16 21:23:44.305000,340.277,24,182,1,100,,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
62ab9e0ca421ac2787b966d5,5ee35d9b7399da021e8c098b,REJECTED,2022-06-16 21:18:23.760000,2022-06-16 21:27:14.767000,531.007,21,166,3,97,2022-06-16 22:16:44.990000,39F54BF2,Poland,Poland,Other,Polish,Poland,Female,Yes
62ab9e0f45d5c1db47a1976d,5f9c78df95b8ea139eb50832,AWAITING REVIEW,2022-06-16 21:18:14.072000,2022-06-16 21:26:03.134000,469.062,21,185,0,100,,7781F798,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
62ab9e1032d6e43a62d9258a,5f4d7acbaaf958a5147028ca,AWAITING REVIEW,2022-06-16 21:18:08.140000,2022-06-16 21:26:42.724000,514.584,39,65,4,96,,7781F798,Mexico,Mexico,Full-Time,Spanish,Mexico,Male,No
62ab9e10a97e9bdb411c5dec,606b5632b44fc8c52a0d7eca,AWAITING REVIEW,2022-06-16 21:18:08.847000,2022-06-16 21:25:52.701000,463.854,22,98,0,100,,7781F798,South Africa,South Africa,Other,English,South Africa,Female,Yes
62ab9e11c23ad7aeb8debd18,5cd6eba26834a6001746b667,AWAITING REVIEW,2022-06-16 21:18:09.056000,2022-06-16 21:22:55.627000,286.571,30,415,5,98,,7781F798,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
62ab9e12e9a009b5bb2e013b,6165ca272627263a71ae1638,AWAITING REVIEW,2022-06-16 21:18:10.105000,2022-06-16 21:24:15.777000,365.672,21,92,0,100,,7781F798,Mexico,Mexico,Other,Spanish,Mexico,Male,Yes
62ab9e14d613811fc6001ac5,6047d153b53e4a096d54b26b,AWAITING REVIEW,2022-06-16 21:18:19.543000,2022-06-16 21:26:35.273000,495.73,24,156,0,100,,7781F798,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
62ab9e15f3cac57c8b7a9f51,6128d9c8f287aba1c1f64e7f,AWAITING REVIEW,2022-06-16 21:18:16.217000,2022-06-16 21:24:56.491000,400.274,20,94,1,100,,7781F798,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,Yes
