session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9e4fbf87dbe39cd643834,6171165b0a955ac648f01d30,RETURNED,2022-06-15 14:06:11.866000,,62403.098943,23,155,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e50f98471fb0cb2ffcb2,615b2f43cb627d1f51211d11,AWAITING REVIEW,2022-06-15 14:01:58.083000,2022-06-15 14:12:11.340000,613.257,30,84,2,99,,39F54BF2,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Yes,Male,No,Yes
62a9e512de88dfca4ab504c9,60142d5718e5943b09fd9298,RETURNED,2022-06-15 13:56:36.598000,,62978.391273,22,156,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e518106a923ae70f90c2,5c71ca9bf6c9fe00013ef0b5,RETURNED,2022-06-15 13:56:45.043000,,62969.958217,53,837,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e534aa51d4c9f4ac93e6,609fc560e33ec2495dfbc15f,RETURNED,2022-06-15 13:57:08.532000,,62946.480596,24,140,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e534c1d42167633b9643,5789972670c76a00012433b3,AWAITING REVIEW,2022-06-15 13:57:08.778000,2022-06-15 14:23:42.387000,1593.609,41,931,4,100,,39F54BF2,Spain,Spain,Full-Time,Spanish,Spain,Yes,Female,No,Yes
62a9e535d6d1a4e79e1fc155,60113374795b0d000a98b896,AWAITING REVIEW,2022-06-15 13:57:09.729000,2022-06-15 14:04:28.487000,438.758,36,186,6,97,,39F54BF2,Poland,Poland,Full-Time,Polish,Poland,Yes,Male,No,Yes
62a9e535f178040ce3a905b4,60e2fbb1eec0ddbbe525aa49,RETURNED,2022-06-15 13:57:14.716000,,62940.331797,28,28,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e557f28ed06ca838e764,5c8c59d99c57e70001a659a6,AWAITING REVIEW,2022-06-15 13:57:48.392000,2022-06-15 14:12:52.742000,904.35,43,362,6,98,,39F54BF2,Poland,Poland,DATA EXPIRED,Polish,Poland,Yes,Male,No,Yes
62a9e55c6b69211cb14ae0f3,613f59d7f0f631a278aca6e8,AWAITING REVIEW,2022-06-15 14:02:57.597000,2022-06-15 14:13:21.916000,624.319,19,133,0,100,,39F54BF2,South Africa,South Africa,Other,DATA EXPIRED,South Africa,Yes,Female,Yes,Yes
62a9e55fc4c4fbeabc454db9,5c26c70f10677f0001db930e,RETURNED,2022-06-15 13:58:08.144000,,62886.93877,56,171,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e5aad6d1a4e79e1fc158,612f4e35a9ee7323933cd80f,RETURNED,2022-06-15 13:59:08.543000,,62826.55151,28,148,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e5c8c9fde4220c5608f0,6175622f78f8039a4c62bb83,RETURNED,2022-06-15 14:09:36.437000,,62198.669085,24,413,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
